item_code,statement_type,item_name_clean,item_name_raw,stage2_role,stage2_name_match,is_summary,indent_level,non_missing_rate,non_missing_count,unit_inferred,candidate_role_hint,status,fix_note,original_column_name,sample_min,sample_p1,sample_median,sample_p99,sample_max
U03B470010700,손익계산서,기타대손상각비,기타대손상각비,,,False,0,0.0032,15,천원,,OK,,[U03B470010700]   기타대손상각비(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470010800,손익계산서,충당부채전입액,충당부채전입액,,,False,0,0.0032,15,천원,,OK,,[U03B470010800]   충당부채전입액(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470010900,손익계산서,유가증권처분손실,유가증권처분손실,,,True,0,0.0032,15,천원,,OK,,[U03B470010900]   유가증권처분손실(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011000,손익계산서,매도가능금융자산처분손실,매도가능금융자산처분손실,,,False,0,0.0032,15,천원,,OK,,[U03B470011000]      매도가능금융자산처분손실(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011100,손익계산서,만기보유금융자산처분손실,만기보유금융자산처분손실,,,False,0,0.0032,15,천원,,OK,,[U03B470011100]      만기보유금융자산처분손실(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011200,손익계산서,기타,기타,,,False,0,0.0032,15,천원,,OK,,[U03B470011200]      기타(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011300,손익계산서,유가증권손상차손,유가증권손상차손,,,True,0,0.0032,15,천원,,OK,,[U03B470011300]   유가증권손상차손(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011400,손익계산서,매도가능금융자산손상차손,매도가능금융자산손상차손,,,False,0,0.0032,15,천원,,OK,,[U03B470011400]      매도가능금융자산손상차손(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011500,손익계산서,만기보유금융자산손상차손,만기보유금융자산손상차손,,,False,0,0.0032,15,천원,,OK,,[U03B470011500]      만기보유금융자산손상차손(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U03B470011600,손익계산서,기타,기타,,,False,0,0.0032,15,천원,,OK,,[U03B470011600]      기타(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
